"Avaliacao","Lucro_Mediana","Lucro_Min","Lucro_Max"
484,468,216,637
485,468,216,637
486,468,216,637
487,468,216,637
488,468,216,637
489,468,216,637
490,468,216,637
491,468,216,637
492,468,216,637
493,468,216,637
494,468,216,637
495,468,216,637
496,468,216,637
497,468,216,637
498,481,216,637
499,481,216,637
500,481,216,637
501,481,216,637
502,481,216,637
503,481,216,637
504,481,216,637
505,481,216,637
506,481,216,637
507,481,216,637
508,481,216,637
509,481,216,637
510,481,216,637
511,481,216,637
512,481,216,637
513,481,216,637
514,481,216,637
515,481,216,637
516,481,216,637
517,481,216,637
518,481,216,637
519,481,216,637
520,481,216,637
521,481,216,637
522,481,216,637
523,481,216,637
524,481,216,637
525,481,216,637
526,481,216,637
527,481,216,637
528,481,216,637
529,481,216,637
530,481,216,637
531,481,216,637
532,481,216,637
533,481,216,637
534,481,216,637
535,481,216,637
536,481,216,637
537,481,216,637
538,481,216,637
539,481,216,637
540,481,216,637
541,481,216,637
542,481,216,637
543,481,216,637
544,481,216,637
545,481,216,637
546,481,216,637
547,481,216,637
548,481,216,637
549,481,216,637
550,481,216,637
551,481,216,637
552,481,216,637
553,481,216,637
554,481,216,637
555,481,216,637
556,481,216,637
557,481,216,637
558,481,216,637
559,481,216,637
560,481,216,637
561,481,216,637
562,481,216,637
563,481,216,637
564,481,216,637
565,481,216,637
566,481,216,637
567,481,216,637
568,481,216,637
569,481,216,637
570,481,216,637
571,481,216,637
572,481,216,637
573,481,216,637
574,481,216,637
575,481,216,637
576,481,216,637
577,481,216,637
578,481,216,637
